AREA,CARACTERISTIC,FEATURE
,,Design & Usability
,,Metaheuristic techniques configuration & spec.
,,"Problem definition, modelling and data import"
,,Support for planning of optimization tasks
,,Graphical Support for methodological guidance
,,Charting
,Interoperability
,,Data Export
,,Data Import
,,Web Services Facade
,,XML usage for projects & config
,Methodological Guidance





"Design, Implementation & licensing"
,Implementation Language
,,C
,,C++
,,Java
,,.NET C#
,Licensing
,,LGPL (Open Source)
,,GPL (Open Source)
,,Free
,,Privative
,Supported Plattforms
,,Linux
,,MAC OS
,,Windows
,Sof. Eng. Best Practices
,,Desing patterns application
,,Documentation of Extension/Variantion Points
,,UML Diagrams of the Framework
,,Unit Test Coverage
,,Reflexive Capabilities (Depence Injection Mechanism/Framework or dynamic loading of classes)
,Size
,,Packages / Modules
,,Classes / Files (for non OO languages)
,,Lines of Code
"Documentation, samples & suppport"
,Preimplemented Problem types / Tutorials
,,ZDT Problem Family
,,DTLZ Problem Family
,,WFG Problem Family
,,CEC2009 Problem Family
,,LOTZ  & MLOTZ Problem Familiy
,,Kursawe problem
,,Fonseca problem
,,Schaffer problem
,,Srinivas Constrained Problem
,,Tanaka Constrained Problem
,,Osyczka2 Constrained Problem
,,Huygens problem
,,TSP
,,SAT
,,QAP
,,Job Shop Scheduling
,,Flow Shop Scheduling
,,Multiobjective 0/1 Knapsack
,,Prisoner's Dilemma
,,Symbolic Regression
,,N-Queens
,,Graph-Coloring
,,Protein Structure Prediction
,,BBV - Biobjective Binary Value Problem
,,MMPN - Multiprocessor Mappings of Process Networks
,,Sudoku
,,Ad-hoc Fucntion
,Papers
,,Papers on Journals
,,Papers on Conferences
,,Other publications
,Documentation
,,User Manual /Tutorial
,,Developer Manual
,,How To
,,FAQ
,,Web Site
,"Community of users, Support & Activity"
,,Used only by its developers
,,Used by researchers out of the development teaml (possibli of the same research group)
,,Used by various researchers and research groups
,,Used by researchers and industrial practitioners
,,"Used by different rearchers and industrial practitioners, with a growing and active user base"
